Open,High,Low,Close,Adj Close,Volume,Search Vol
160028.7969,160663.0313,145838.875,145838.875,145838.875,4.14E+11,2.95765
145528.4531,149978.5938,139353.3438,140087.8906,140087.8906,3.49E+11,1.29434
140277.1719,141349,121008.1563,121783.3672,121783.3672,5.06E+11,1.02995
121916.1094,132822.0313,117412.6797,125743.5313,125743.5313,4.97E+11,0.65111
125784.8828,131335.2969,123184.0859,123632.5703,123632.5703,3.13E+11,0.44789
123948.5234,124932.4375,117182.0156,122245.9297,122245.9297,2.91E+11,0.34331
122261.8438,127911.7578,121280.9297,126006.2266,126006.2266,2.87E+11,0.55641
126220.625,143856.0781,125485.5859,141692.3906,141692.3906,3.96E+11,0.52878
141100.2031,142053.9375,123391.4453,125214.7734,125214.7734,4.02E+11,0.54062
125000.1094,128548.4531,121244.5078,126462.3203,126462.3203,3.12E+11,0.50313
126126.875,127729.7109,120653.8984,121047.5625,121047.5625,2.49E+11,0.42618
121026.1719,127706.75,120983.375,124369.1406,124369.1406,2.26E+11,0.40053
124402.2969,126818.8672,124034.3047,125970.3359,125970.3359,2.08E+11,0.42026
126090.2344,130616.3047,121116.0938,122908.2109,122908.2109,2.78E+11,0.53865
123146.5625,123547.2422,120028.5703,121506.1328,121506.1328,2.16E+11,0.47156
121533.7813,126917.2891,120957.1094,126056.8047,126056.8047,2.45E+11,0.56035
126057.8672,138383.2813,121650.5938,138383.2813,138383.2813,6.29E+11,0.83066
138318.0156,142074.7344,132888.7813,134214.0156,134214.0156,4.90E+11,1.06546
134074.8281,138480.6875,133585.5313,135220.4531,135220.4531,2.77E+11,0.66887
135621.9688,141376.625,135621.9688,141376.625,141376.625,2.94E+11,0.51497
141294.1875,142082.2344,134237.6094,137245.3125,137245.3125,3.11E+11,0.74188
137646.3438,148885.4531,137706.8438,141713.2031,141713.2031,5.68E+11,1.77972
141125.7969,149874.625,140875.6094,148966.5938,148966.5938,4.06E+11,1.94349
149013.4219,156704.1563,148150.0625,155995.2969,155995.2969,4.36E+11,1.43048
156209.625,166640.25,153424,166440.1406,166440.1406,5.26E+11,1.63568
166598.5156,167588.3594,152144.6719,159374.2813,159374.2813,5.17E+11,1.14439
159025.4219,162901.3125,155500.5,157255.1406,157255.1406,3.63E+11,0.82475
157145.8438,163736.75,156848.8906,164462.6094,164462.6094,4.06E+11,1.14044
164811.5156,178582.875,164567.3906,178484.7969,178484.7969,6.93E+11,1.2825
177737.625,177641.875,154401.125,156514.5,156514.5,6.63E+11,0.96089
156444.2188,165644.2969,153926.0625,165464.6406,165464.6406,4.44E+11,0.74582
165211.625,164266.3438,155641.2344,155641.2344,155641.2344,4.13E+11,0.74977
155467.375,163557.4531,155467.375,162458.7188,162458.7188,3.60E+11,0.56627
162318.9688,166005.5938,158832.9063,163984.1875,163984.1875,4.14E+11,0.73793
164001.2813,164307.3438,158125.8594,158764.9844,158764.9844,3.65E+11,0.82277
158622.75,159372.4375,154006.0938,159450.875,159450.875,3.67E+11,0.54851
159404.7031,164871.8125,157816.7188,163501.5625,163501.5625,3.83E+11,0.73201
163805.7344,176593.6094,162161.2031,173426.3438,173426.3438,6.64E+11,0.83264
172362.9531,182834.3438,170082.3438,181128.0781,181128.0781,6.79E+11,0.91551
180658.0781,194906.8281,180658.0781,190758.1719,190758.1719,7.95E+11,1.02205
191036.1094,196253.5781,178324.0625,184415.2813,184415.2813,6.72E+11,1.03192
184371.2656,184494.4531,171596.7188,177826.9531,177826.9531,6.18E+11,0.69452
177774.1094,181150.7188,170404.1719,171976.1563,171976.1563,5.02E+11,0.65901
171976.1563,172338.4844,164999.6406,169302.1406,169302.1406,4.83E+11,0.46564
169405.6406,172008.4531,158948.3281,159513.0781,159513.0781,4.54E+11,0.53865
159061.7969,159442.875,143752.6406,146303.8438,146303.8438,5.66E+11,0.52681
146453.2188,154095.0781,141471.3906,151388.0938,151388.0938,4.38E+11,0.42421
151298.4688,157089.3906,146877.8906,154151.0469,154151.0469,4.09E+11,0.37488
154189.4219,162811.9375,145296.3281,157929.9063,157929.9063,6.25E+11,0.39461
157688.2813,159765.1094,149547.5156,150888.5625,150888.5625,4.49E+11,0.64125
150640.4531,152140.7813,145923.2969,149920.6094,149920.6094,3.79E+11,0.43802
