Date,Open,High,Low,Close,Adj Close,Volume,Search Vol
19-12-25,47383.67188,47347.75781,46332.71094,47161.16797,47161.16797,3.21923E+12,0.07892
19-12-26,47136.63672,48067.98438,46245.91797,46797.1875,46797.1875,3.31102E+12,0.08286
19-12-27,46792.19922,48329.30078,46392.03906,47798.80078,47798.80078,3.42402E+12,0.10062
19-12-28,47783.69141,50855.93359,47741.78906,49730.74219,49730.74219,3.78488E+12,0.09668
19-12-29,49678.76172,51596.19531,49262.84766,50690.78125,50690.78125,4.14829E+12,0.10851
19-12-30,50787.44141,51596.34375,49113.53906,49473.62891,49473.62891,3.8549E+12,0.13416
19-12-31,49495.36328,49706.98047,47592.65234,47737.03516,47737.03516,3.48261E+12,0.07695
20-1-1,47721.40234,48828.625,47677.35547,48529.20703,48529.20703,3.21427E+12,0.07497
20-1-2,48529.625,48647.09375,45925,46086.37891,46086.37891,3.19389E+12,0.10062
20-1-3,46132.80078,49462.41797,45749.17188,49450.62109,49450.62109,3.80182E+12,0.07892
20-1-4,49413.25781,50531.52734,48888.09766,50512.75781,50512.75781,3.31476E+12,0.2269
20-1-5,50471.69141,52153.13281,50130.27344,50780.64453,50780.64453,3.51783E+12,0.07497
20-1-6,50839.74219,53636.98438,50712.04688,53486.01172,53486.01172,3.9099E+12,0.20322
20-1-7,53512.07422,54706.23047,52113.49609,54198.84375,54198.84375,4.21631E+12,0.19533
20-1-8,54226.59375,56450.74219,51826.0625,53028.67578,53028.67578,4.22099E+12,0.27623
20-1-9,52992.08984,53068.86719,51405.05859,52396.67188,52396.67188,3.46059E+12,0.15982
20-1-10,52391.58203,56945.88281,51039.21484,56471.5625,56471.5625,4.41337E+12,0.12627
20-1-11,56363.23438,59493.34375,55731.08203,57093.25781,57093.25781,4.53812E+12,0.14995
20-1-12,57157.44922,59451.75391,56802.39063,59199,59199,4.47214E+12,0.1756
20-1-13,59247.17969,59557.82422,56621.19141,57439.51563,57439.51563,3.85312E+12,0.18744
20-1-14,57397.46875,69221.82031,57326.17188,67726.57031,67726.57031,6.63568E+12,0.26044
20-1-15,67624.6875,69556.85938,65044.46094,67222.88281,67222.88281,5.87171E+12,0.40645
20-1-16,67217.22656,67586.08594,63954.88672,66823.92969,66823.92969,5.04236E+12,0.22295
20-1-17,66852.58594,73019.79688,65929.22656,71414.83594,71414.83594,5.88565E+12,0.26636
20-1-18,71200.78906,72202.94531,67974.51563,69000.76563,69000.76563,5.14068E+12,0.30977
20-1-19,69043.8125,71761.91406,65251.28125,67132.03906,67132.03906,4.87547E+12,0.26833
20-1-20,67109.78125,67397.25781,65234.35156,66272.83594,66272.83594,3.83067E+12,0.19336
20-1-21,66307.89844,67577,65835.39063,67433.03125,67433.03125,3.66145E+12,0.17165
20-1-22,67423.33594,68686.64063,66739.64844,67967.5,67967.5,3.58295E+12,0.14995
20-1-23,67962.44531,68228.85938,62466.02344,63840.92188,63840.92188,3.91248E+12,0.146
20-1-24,63856.75781,64780.08203,60039.86719,63815.28125,63815.28125,4.1342E+12,0.10851
20-1-25,63853.03906,63853.03906,61752.64844,62839.30078,62839.30078,3.43905E+12,0.14403
20-1-26,62826.75391,66089.61719,62372.54297,65780.11719,65780.11719,3.84265E+12,0.09273
20-1-27,65853.40625,70157.86719,65976.25,69156.14063,69156.14063,4.50994E+12,0.1973
20-1-28,69162.36719,71947.53125,68005.76563,71312.4375,71312.4375,4.96098E+12,0.33345
20-1-29,71302.97656,73125.85938,70501.57813,70836.6875,70836.6875,4.59186E+12,0.27623
20-1-30,70761.21094,82915.72656,69536.01563,80980.46094,80980.46094,7.17876E+12,0.30977
20-1-31,81004.19531,82741.67188,78691.71875,81181.83594,81181.83594,6.83868E+12,0.63336
20-2-1,81216.55469,86447.49219,80913.42969,84698.61719,84698.61719,7.1875E+12,0.46564
20-2-2,84677.47656,87609.25781,81480.1875,83996.92969,83996.92969,6.55766E+12,0.31964
20-2-3,83711.13281,86501.1875,82211.35156,83063.57813,83063.57813,5.91022E+12,0.36304
20-2-4,83050.80469,83742.28906,79367.1875,80708.34375,80708.34375,5.26607E+12,0.27425
20-2-5,80612.27344,86670.42188,80624.58594,85868.07813,85868.07813,6.12337E+12,0.33739
20-2-6,85914.60156,88360.01563,84108.96094,87024.30469,87024.30469,6.47835E+12,0.42421
20-2-7,87118.25781,89053.66406,86977.80469,88661.49219,88661.49219,6.0239E+12,0.42421
20-2-8,88708.3125,92316.89844,86018.42188,91179.15625,91179.15625,6.5544E+12,0.36304
20-2-9,91157.14063,93246.54688,90253.51563,91924.42188,91924.42188,6.13569E+12,0.48143
20-2-10,91984.60156,92482.17188,86850.21094,88282.58594,88282.58594,6.38198E+12,0.43013
20-2-11,88295.63281,90555.13281,86166.85156,90516.67969,90516.67969,5.60386E+12,0.35318
20-2-12,90393.92969,97112.91406,90273.8125,95846.44531,95846.44531,6.72229E+12,0.54259
20-2-13,95766.59375,98656.14063,92857.96875,95202.48438,95202.48438,7.79001E+12,0.55246
20-2-14,95169.42969,98778.33594,93956.64063,98217.42188,98217.42188,6.37049E+12,0.47946
20-2-15,98258.96094,98683.49219,90066.38281,90551.89844,90551.89844,6.64248E+12,0.40645
20-2-16,90807.60156,95165.90625,82341.78906,88930.21094,88930.21094,7.32019E+12,0.37094
20-2-17,88711.875,89203.41406,82173.4375,86789.60938,86789.60938,6.62782E+12,0.40645
20-2-18,86711.78906,92955.07813,84454.3125,91706.53125,91706.53125,6.66678E+12,0.38672
20-2-19,91754.54688,93198.92188,84158.26563,84819.29688,84819.29688,6.3179E+12,0.40645
20-2-20,84635.6875,86048,81428.74219,83877.05469,83877.05469,6.62624E+12,0.32555
